season,station_i,station_j,distance_km,n_pair_days,chi_0_95,f_madogram,theta_fmadogram
W,6225,6235,53.872032029446856,3067,0.6736601578728708,0.03820558558984313,1.165465776101439
W,6225,6240,22.66335682685925,3067,0.6699507389162561,0.040727906856448774,1.1773585091037473
W,6225,6260,58.63379435758536,3067,0.6707010733044074,0.046747730389979744,1.2062768728337605
W,6225,6267,73.83899598342074,3044,0.649671052631579,0.04354696069771456,1.1908058746384014
W,6225,6269,64.60022808509045,3067,0.6900208986415883,0.04012362499173161,1.1744974396260743
W,6225,6270,116.69493516452644,3067,0.5949014778325123,0.04962543966683999,1.2203740798775582
W,6225,6273,93.89111005520489,3067,0.6989339299815741,0.045360211396356855,1.199543517894348
W,6225,6275,100.4501821885915,3067,0.646875,0.052110744434527886,1.232694773482506
W,6225,6277,152.59862477771836,3066,0.6090676883780333,0.05328222383808535,1.238549825779814
W,6225,6278,115.51343834717343,3067,0.5990376904570971,0.05212579690421769,1.2327698114511414
W,6225,6279,139.95349575590143,2975,0.6055810348168723,0.05301695925883352,1.2372213458968075
W,6225,6280,155.02232988106246,3067,0.5921095980672084,0.053498934393014834,1.239636312268536
W,6225,6283,149.59213845782529,3066,0.595084920226454,0.053306045715481434,1.2386692060825544
W,6225,6285,174.58481341265545,2842,0.5798076923076922,0.05741538439372512,1.2594549488127804
W,6225,6286,192.35398698475598,3060,0.5492386106216964,0.058379693006489444,1.2643886256224506
W,6225,6290,159.96947185446524,3065,0.6108820589705148,0.05152428676001451,1.2297751483030395
W,6225,6308,144.84946002981343,3011,0.5197452229299363,0.0544187551013821,1.2442596304239146
W,6225,6310,131.16611692455237,3067,0.5998114224137931,0.054163265930501955,1.2429735452084074
W,6225,6312,100.20927741215384,3048,0.6432935107249524,0.04620535833547094,1.2036399467652974
W,6225,6316,107.26518694358158,3037,0.6008754012255617,0.046471468556711644,1.2049329439487435
W,6225,6319,145.62508748242348,3065,0.5751616379310345,0.05437513769166659,1.244039964063063
W,6225,6320,84.83028294960604,3067,0.5928939735739607,0.042044545530541565,1.183618494419944
W,6225,6330,60.125275072582426,3067,0.6641849529780564,0.041560614703487125,1.1813134562014398
W,6225,6343,65.53482403538618,3066,0.6235632183908046,0.04374383599382184,1.1917512110290283
W,6225,6344,56.259644831585526,3067,0.632354714251266,0.04410130328052148,1.19346974930116
W,6225,6348,60.35960413495507,3063,0.6955747126436782,0.04530787668350522,1.199290352131163
W,6225,6350,103.10293463657534,3067,0.6285155294693079,0.05658228570104198,1.2552098568750163
W,6225,6356,78.34524614932972,3065,0.6527298850574713,0.049194156740842536,1.2182498628908054
W,6225,6370,125.88473899237061,3067,0.6594827586206896,0.05489667652277256,1.2466693624927796
W,6225,6375,119.09400944471288,3066,0.6325930577757479,0.052792949948399955,1.2361007052205844
W,6225,6380,192.06991478113991,3067,0.5646551724137931,0.06433252476744176,1.2953285632952114
W,6225,6391,155.38677471826318,3067,0.6149847870182557,0.06102778778754082,1.278048523754865
W,6235,6240,67.79812572971173,3069,0.5859294320137693,0.044176740449817405,1.193832760940774
W,6235,6260,95.93907359644993,3069,0.6133607276789277,0.04898224512761698,1.2172076136624672
W,6235,6267,40.52008757065554,3046,0.6417270169288252,0.04227289430789404,1.1847078478954194
W,6235,6269,72.34067520781046,3069,0.6586162833150785,0.03876730907352409,1.1681030414199496
W,6235,6270,72.72342181512458,3069,0.6162650602409638,0.04263871095506688,1.1864552684120053
W,6235,6273,78.4521752808758,3069,0.6419111560746804,0.04283021765128908,1.1873711662710897
W,6235,6275,121.91184619472288,3069,0.5952936746987951,0.05261366080204874,1.2352045925066535
W,6235,6277,108.81347857915645,3068,0.6178491744756804,0.04973985557370433,1.2209383006221033
W,6235,6278,113.67934556886513,3069,0.585983468758756,0.04878169012058018,1.2162221215429678
W,6235,6279,121.98144103014535,2977,0.6264530954311975,0.04784636593597364,1.2116376484953717
W,6235,6280,122.58771101310354,3069,0.6010858721510245,0.046495059423519565,1.2050476423229992
W,6235,6283,158.88368228769454,3068,0.5664448840136667,0.05293941259769654,1.236833279825927
W,6235,6285,129.42449496781154,2844,0.6189291101055807,0.05406259715067419,1.2424672019222436
W,6235,6286,161.01109524577805,3062,0.5729047577169994,0.05291449690525047,1.2367086230216526
W,6235,6290,159.94958691237414,3067,0.5639951108782958,0.049254816413218105,1.21854838701226
W,6235,6308,196.80080977929322,3013,0.4523635945054102,0.06499875114981417,1.298843974915574
W,6235,6310,183.88147809303635,3069,0.5396272590361446,0.05998533971121364,1.2726515506180847
W,6235,6312,151.1424959657555,3050,0.5767716535433071,0.0584301118549689,1.264647175560023
W,6235,6316,159.50890181862175,3039,0.5443812407922737,0.057102313874782866,1.2578578107930722
W,6235,6319,199.44173981714766,3067,0.5396272590361446,0.058602429398057654,1.2655312729435297
W,6235,6320,134.41110447153702,3069,0.5533160680103592,0.052494770546841096,1.2346107580060617
W,6235,6330,113.24088273546182,3069,0.5743702081051478,0.05213521812114787,1.2328167796647627
W,6235,6343,119.39489835689258,3068,0.5590909090909091,0.0508161715235474,1.2262600222982487
W,6235,6344,109.8091081242824,3069,0.5792611003454378,0.047421262929343004,1.2095602777818506
W,6235,6348,106.94203741484645,3065,0.5837751004016064,0.04830667391516874,1.2138914662914297
W,6235,6350,151.799930412651,3069,0.5771169785525079,0.059313699338237595,1.2691878519898094
W,6235,6356,121.41986473735707,3067,0.5814759036144579,0.05148151912379856,1.2295625322873074
W,6235,6370,169.20275299260467,3069,0.6201911092646448,0.05829037084224578,1.2639307227845271
W,6235,6375,154.43695603272113,3068,0.5754208888534269,0.054217795550496585,1.2432479134847931
W,6235,6380,234.6355452477913,3069,0.5471199867965011,0.06547493664882223,1.3013632223828993
W,6235,6391,185.91613460589485,3069,0.5551470588235294,0.06269774397189802,1.286747864240924
W,6240,6260,35.99197266525369,3069,0.6607379375591296,0.03421686316136982,1.1469218632241907
W,6240,6267,75.88682081747318,3046,0.6766640866873065,0.045951482205536645,1.2024078062350938
W,6240,6269,50.891286153925726,3069,0.7129870129870131,0.034937106492950246,1.1502468030914645
W,6240,6270,119.72758871543039,3069,0.585,0.046809421961871385,1.2065772071630896
W,6240,6273,85.72872821645674,3069,0.6797164667393675,0.041312554449623555,1.1801337919770307
W,6240,6275,79.35985524998065,3069,0.6428571428571428,0.03878398321652778,1.168181423910678
W,6240,6277,154.14995314231095,3068,0.5674603174603174,0.054810284549419525,1.2462333816222395
W,6240,6278,100.57878188901049,3069,0.6348837209302325,0.04262485959191817,1.1863890527757464
W,6240,6279,129.82557644977317,2977,0.6223588167499039,0.045467378140985365,1.2000621119559083
W,6240,6280,150.51196154370518,3069,0.6148089171974522,0.04971408937610878,1.220811214400325
W,6240,6283,130.2442499723369,3068,0.6207356076759062,0.04433449625948405,1.1945922870857955
W,6240,6285,176.46635967467464,2844,0.5538461538461539,0.06184762983021721,1.2823110590786095
W,6240,6286,186.33845777383914,3062,0.5488008342022941,0.0561096267382197,1.2528084865905826
W,6240,6290,142.9670114231804,3067,0.6115424430641822,0.046838229364347055,1.206717478831662
W,6240,6308,142.28744671144594,3013,0.569674196948174,0.048162321394771425,1.2131841750933345
W,6240,6310,127.27575895428846,3069,0.5982142857142857,0.04602377747567174,1.2027585375276142
W,6240,6312,100.63865991903508,3050,0.5406074240719909,0.05001321638707024,1.2222874902481167
W,6240,6316,105.06773718987947,3039,0.6141425931329637,0.04486602209976543,1.1971552302324484
W,6240,6319,137.25662851248995,3067,0.5627529226618705,0.04920498383718525,1.2183031403320297
W,6240,6320,87.96418287075147,3069,0.5935914552736983,0.046084278268189074,1.2030521352834624
W,6240,6330,58.237944732978214,3069,0.5762987012987013,0.04144553566896147,1.1807660327957954
W,6240,6343,57.43407728481961,3068,0.6917748917748918,0.038762191301646244,1.168078984726061
W,6240,6344,46.03905406016585,3069,0.7138611388611389,0.03584174153970824,1.1544375905692281
W,6240,6348,39.79479104984562,3065,0.6766666666666666,0.034084728296287434,1.1463129902209463
W,6240,6350,84.23426898192739,3069,0.6049898682877406,0.04604585359014839,1.2028656592490994
W,6240,6356,56.56644045900563,3067,0.6190476190476191,0.036222555638770214,1.1562066291889648
W,6240,6370,104.54205332466647,3069,0.5966748768472906,0.04473451217480575,1.1965205506286134
W,6240,6375,96.46652697198041,3068,0.6194418164616841,0.04234409985725526,1.1850477611849777
W,6240,6380,170.74292827659502,3069,0.5526908023483366,0.05870086500050758,1.2660366193583183
W,6240,6391,132.74360323173048,3069,0.54359243697479,0.05032462183796664,1.2238264502880252
W,6260,6267,89.77561392001587,3046,0.6587898317221625,0.04979543594979139,1.2212124883933342
W,6260,6269,44.81844650594606,3069,0.716596427854706,0.03714083878900971,1.1604844060635515
W,6260,6270,130.82162080060135,3069,0.5921665089877011,0.051643419272367916,1.2303676202925649
W,6260,6273,82.47178048205534,3069,0.7056771649562712,0.04233474822309271,1.1850031133398309
W,6260,6275,47.58048536768872,3069,0.7208609271523179,0.034042314217050236,1.1461176207871704
W,6260,6277,161.29231410853257,3068,0.5401520726024038,0.060251019063838555,1.2740245989226533
W,6260,6278,82.37056531852238,3069,0.6840058524564916,0.04249752144691515,1.1857805080371124
W,6260,6279,118.95521741499219,2977,0.6623327250608273,0.046843275789641516,1.2067420531881883
W,6260,6280,148.25780198990248,3069,0.6495971653941874,0.05159116770140992,1.2301077230657935
W,6260,6283,100.98235131795511,3068,0.6901749530493229,0.04358013118054597,1.1909650922658888
W,6260,6285,183.2979057476203,2844,0.558041958041958,0.06566672532076474,1.3023794360183942
W,6260,6286,180.24839820236787,3062,0.6195195050031421,0.057088441890378164,1.2577870947149616
W,6260,6290,118.24639364668636,3067,0.6865102217103369,0.04480839918365547,1.1968770913316313
W,6260,6308,147.50638782698067,3013,0.5781414772008268,0.052763543501304036,1.235953678348929
W,6260,6310,131.23337367019948,3069,0.642358236754967,0.04525698986293558,1.1990442463284687
W,6260,6312,113.0223091248996,3050,0.572613026020754,0.05303013196823037,1.2372872793494933
W,6260,6316,113.26837583611731,3039,0.6153914988814317,0.04725384250971767,1.2087432073268647
W,6260,6319,133.11599251677964,3067,0.6226041666666666,0.04765808769892036,1.2107170987383502
W,6260,6320,105.09879944712054,3069,0.5988116605805534,0.04866137869344258,1.2156313525865576
W,6260,6330,73.34176842087723,3069,0.5656833232992173,0.04484169959506315,1.197037819831778
W,6260,6343,63.67831911586594,3068,0.6693939393939394,0.038459585216650036,1.1666574973058566
W,6260,6344,52.438410014587895,3069,0.7216227481128143,0.03617079504442885,1.1559660092895339
W,6260,6348,22.575522943731258,3065,0.7375496688741722,0.03074505845117529,1.1310377610503068
W,6260,6350,61.69662339785795,3069,0.6103048236343995,0.043085238029090436,1.1885920159079193
W,6260,6356,26.912466876447397,3067,0.702924944812362,0.03275815830597381,1.140219284245633
W,6260,6370,73.4517779496535,3069,0.6624343457410368,0.040045214443053846,1.174126743325713
W,6260,6375,60.87372417000365,3068,0.6556291390728477,0.03864611001155662,1.1675334741949381
W,6260,6380,138.7042170368064,3069,0.5994965073029122,0.05412988990173547,1.2428056453024217
W,6260,6391,96.75409201675636,3069,0.6358833268406701,0.045167423851791476,1.1986112086970373
W,6267,6269,50.56492602519833,3046,0.6914276431820292,0.042465886736103985,1.1856293793403359
W,6267,6270,43.855767310445906,3046,0.6982050501977487,0.0370510851553091,1.1600655448894999
W,6267,6273,40.22678312937616,3046,0.7100891764294457,0.037967356226101145,1.1643492369542656
W,6267,6275,99.30857479161475,3046,0.6388582922273838,0.05320370329524743,1.2381564202194137
W,6267,6277,78.98709097120633,3045,0.6717076782866256,0.04451095751994085,1.195442495290716
W,6267,6278,78.28741044446686,3046,0.6618342262842736,0.048881641431147274,1.2167131552181627
W,6267,6279,81.61719566487413,2954,0.6848958333333333,0.04728528445301227,1.2088966089643467
W,6267,6280,84.2430300432493,3046,0.6566092650982294,0.045384692840888495,1.1996619652976368
W,6267,6283,126.21553301746978,3045,0.6339712918660287,0.05379388362157716,1.2411167469338547
W,6267,6285,101.15894777249969,2821,0.6726049868766404,0.048391457868471266,1.2143070972044523
W,6267,6286,122.59715494318523,3039,0.6320488721804511,0.04816744015577918,1.213209248011635
W,6267,6290,123.20756085348289,3044,0.634363686995266,0.05250858911410475,1.2346797629485395
W,6267,6308,217.12188740711792,2990,0.5340802987861811,0.06378494877996554,1.2924472624297014
W,6267,6310,202.58876171892763,3046,0.5819548872180451,0.059554531541217794,1.2704286264976798
W,6267,6312,173.53049592251585,3027,0.5711840577052387,0.05548058296242191,1.2496205152619093
W,6267,6316,179.57238737477863,3016,0.5739405106607002,0.0545727788521968,1.2450356703012917
