station,season,scipy_c,xi,mu,sigma,n
6225,S,0.04993065675749393,-0.04993065675749393,10.99369585905999,3.570186269990222,3116
6235,S,0.018426935270476025,-0.018426935270476025,9.836178420611994,2.821963398225903,3128
6240,S,-0.005169338057018892,0.005169338057018892,9.697828483317153,2.5741551979956983,3128
6260,S,0.04021730792188956,-0.04021730792188956,8.451107515667532,2.343516578432334,3128
6267,S,0.03496301744130426,-0.03496301744130426,9.86971505594665,2.9477312680487184,3118
6269,S,0.028268676111451507,-0.028268676111451507,8.932127218694387,2.528295080011785,3127
6270,S,0.025634910854230093,-0.025634910854230093,9.333791388368859,2.5111102527346016,3126
6273,S,0.07870407601363118,-0.07870407601363118,8.79070092453875,2.4876084477244165,3124
6275,S,0.04949296105274471,-0.04949296105274471,8.981207331548465,2.4607837003487782,3128
6277,S,0.07275868774002012,-0.07275868774002012,10.619040377353262,3.028404628860029,3128
6278,S,0.04188830883231297,-0.04188830883231297,7.922466015509501,2.3638713416355297,3118
6279,S,0.06456459468315909,-0.06456459468315909,8.69921682563781,2.5593657163897103,3128
6280,S,0.053158348967899303,-0.053158348967899303,9.023518322542618,2.5329823436899863,3128
6283,S,0.04722473960783483,-0.04722473960783483,8.14763030615202,2.495824924356211,3120
6285,S,0.05726070249823681,-0.05726070249823681,10.679606371123711,3.3182775419221135,2997
6286,S,0.06434288870323454,-0.06434288870323454,9.40635263363139,2.6050999302101125,3127
6290,S,0.055570197605909186,-0.055570197605909186,8.43555729071312,2.4949800186006197,3128
6308,S,0.04797875030253832,-0.04797875030253832,9.6912393130067,3.058738412073236,3036
6310,S,0.020397954902755894,-0.020397954902755894,10.16442324785452,3.1387212477041686,3128
6312,S,0.07494926752833145,-0.07494926752833145,10.44063878829056,3.484692802731902,3013
6316,S,0.04407839563836466,-0.04407839563836466,10.148514813057663,3.30636428661019,3034
6319,S,0.031304468222746185,-0.031304468222746185,8.782042623977452,2.4199321199687516,3104
6320,S,0.06173586895437942,-0.06173586895437942,10.47888679556471,3.5122023492692147,3128
6330,S,0.07248747134872582,-0.07248747134872582,11.00270604650515,3.5054101966001863,3125
6343,S,0.008798055022198839,-0.008798055022198839,9.938492982438046,2.6303133460685553,3116
6344,S,-0.01565015566274668,0.01565015566274668,9.081301491445341,2.557197739680962,3128
6348,S,0.03211494744175719,-0.03211494744175719,8.773234637513482,2.610800202703917,3126
6350,S,0.07716474164443118,-0.07716474164443118,8.840750477068982,2.347620526937533,3128
6356,S,0.06320019734121052,-0.06320019734121052,8.714943279848821,2.684638509410748,3125
6370,S,0.02963976610968612,-0.02963976610968612,8.672798651639338,2.4904692166446902,3127
6375,S,0.027143445613448496,-0.027143445613448496,8.376997494510377,2.50855452597473,3126
6380,S,0.011872781634416936,-0.011872781634416936,8.549896248863796,2.5896367115944656,3128
6391,S,0.022785288568344938,-0.022785288568344938,7.680805735300456,2.481298218704054,3128
6225,W,0.10794404730016899,-0.10794404730016899,13.140323392801992,5.128182160404975,3067
6235,W,0.11696572595540308,-0.11696572595540308,11.840637162666152,4.844215640676225,3069
6240,W,0.045542166836398,-0.045542166836398,10.69508199675773,4.523281937559021,3069
6260,W,0.038491848934842046,-0.038491848934842046,8.99890368849522,3.826246922171199,3069
6267,W,0.03466022980721506,-0.03466022980721506,10.885454114083466,4.366498570957464,3046
6269,W,0.05692921828510532,-0.05692921828510532,9.621205531528727,4.151387415862187,3069
6270,W,0.0878983706794475,-0.0878983706794475,10.508662929329146,4.378178050310918,3069
6273,W,0.08469732422557144,-0.08469732422557144,9.66308771331184,4.061355026217054,3069
6275,W,0.060433253019168034,-0.060433253019168034,9.118672787050272,3.9077788423472413,3069
6277,W,0.08984803975792441,-0.08984803975792441,12.062467143072968,4.765573393261361,3068
6278,W,0.010164155769031864,-0.010164155769031864,8.34326417003839,3.5670254015403904,3069
6279,W,0.03730452550266487,-0.03730452550266487,9.311452052448015,3.9742745999893296,2977
6280,W,0.032524627447385025,-0.032524627447385025,9.652182201290058,4.180094448583979,3069
6283,W,0.016606107466801804,-0.016606107466801804,8.54191368718277,3.683733808348521,3068
6285,W,0.07035797135568408,-0.07035797135568408,13.119407709900067,4.666177924837772,2844
6286,W,0.025656981095186254,-0.025656981095186254,10.198072103868228,4.2061236426842505,3062
6290,W,0.045681878331344766,-0.045681878331344766,8.771906415897323,3.802434024226417,3067
6308,W,0.052470481728089144,-0.052470481728089144,11.197663981844848,4.619766818829756,3013
6310,W,0.017055022639995074,-0.017055022639995074,11.620521267806968,4.6834942922960625,3069
6312,W,0.12841834934680485,-0.12841834934680485,12.686553971962747,4.623710522406704,3050
6316,W,0.08368240931896297,-0.08368240931896297,11.834734374837797,4.574479926310897,3039
6319,W,0.06711429873094107,-0.06711429873094107,9.598385731409428,4.364121712823647,3067
6320,W,0.07685109406771218,-0.07685109406771218,12.969811147121074,4.6829001241319315,3069
6330,W,0.13866677770211747,-0.13866677770211747,13.057660846720367,4.915342393011597,3069
6343,W,0.07974288168242732,-0.07974288168242732,11.155510781911875,4.209453905919501,3068
6344,W,0.07153560355517721,-0.07153560355517721,10.468066770897254,4.404814810702241,3069
6348,W,-0.007652790058346005,0.007652790058346005,9.415622739754095,4.14124695823935,3065
6350,W,0.05372030384593687,-0.05372030384593687,8.994481198548515,3.7944171891300966,3069
6356,W,0.008360457450213073,-0.008360457450213073,9.193316684038935,4.049629391023476,3067
6370,W,0.038590066785926865,-0.038590066785926865,8.795119278295987,3.8132211787768657,3069
6375,W,0.016865459992416194,-0.016865459992416194,8.698363633151693,3.781195598251159,3068
6380,W,0.025442514098580185,-0.025442514098580185,9.433873127237138,3.9266558806487772,3069
6391,W,0.018098374207935003,-0.018098374207935003,8.139530952890228,3.4536635112711447,3069
