scenario,bias_rho_w,bias_rho_s,bias_alpha_w,bias_alpha_s,bias_delta,rmse_rho_w,rmse_rho_s,rmse_alpha_w,rmse_alpha_s,rmse_delta,coverage_rho_w,coverage_rho_s,coverage_alpha_w,coverage_alpha_s,coverage_delta,rejection_rate,mean_p_boot,mean_theta_w_mse,mean_theta_s_mse,convergence_rate_w,convergence_rate_s,boundary_rate_w,boundary_rate_s
alternative,-8.543027437010181,0.06805757174616645,0.019154297269864395,-0.008902484782154274,-8.611085008756348,47.43403958954725,0.7335553497065275,0.07603430758324001,0.021099795492526566,48.16478814172575,0.5,1.0,0.5,1.0,1.0,1.0,0.16666666666666666,0.0002872654109395437,1.0105395097419998e-05,1.0,1.0,0.0,0.0
null,-2.8317884484924747,-0.45159062680900774,0.017911071758579145,0.00665757964939212,-2.380197821683467,18.16422719778471,1.4965550650091188,0.08117088900120027,0.011664012688896627,19.51462749298463,0.5,1.0,0.5,1.0,1.0,0.0,0.5833333333333334,0.0005730864843821073,3.0940230723436855e-06,1.0,1.0,0.0,0.0
