n_obs,design,estimand,median_bw_km
500,null,theta,30.65237023438204
500,null,chi_0.95,56.14825358089544
500,null,chi_0.975,80.73615146056852
500,null,chi_0.99,93.6681972846533
500,alternative,theta,30.65237023438204
500,alternative,chi_0.95,51.70061251196557
500,alternative,chi_0.975,55.534202069498356
500,alternative,chi_0.99,80.73615146056852
