design,estimand,d0_km,season,true,mc_mean,bias,rmse,coverage,mean_band_width,n_obs,size_or_power,size_excl_zero_2sided
null,theta,50.0,winter,1.253114366609636,1.252559220865401,-0.0005551457442349861,0.005558148463171962,1.0,0.029251772859194853,500,,
null,theta,50.0,summer,1.253114366609636,1.2418143087374915,-0.011300057872144498,0.015745562201798912,0.6666666666666666,0.03290115933966542,500,,
null,theta,50.0,diff,0.0,0.010744912127909475,0.010744912127909475,0.01783805073627483,0.8333333333333334,0.04370825903299957,500,0.0,0.16666666666666666
null,theta,100.0,winter,1.351923131860854,1.3521380561416205,0.00021492428076652637,0.008918094917167961,1.0,0.04434929823579233,500,,
null,theta,100.0,summer,1.351923131860854,1.3364784288376368,-0.01544470302321721,0.02243414452192786,0.5,0.04885609734946935,500,,
null,theta,100.0,diff,0.0,0.015659627303983886,0.015659627303983886,0.026167325789358063,0.6666666666666666,0.06505939716620211,500,0.0,0.3333333333333333
null,theta,200.0,winter,1.4813949835712745,1.479282103976234,-0.0021128795950404733,0.01651494467212742,0.8333333333333334,0.05891362052301807,500,,
null,theta,200.0,summer,1.4813949835712745,1.4606478584751146,-0.020747125096159946,0.02904754258377176,0.6666666666666666,0.06664802338976665,500,,
null,theta,200.0,diff,0.0,0.018634245501119546,0.018634245501119546,0.0350283462737108,0.6666666666666666,0.09413340544500726,500,0.0,0.3333333333333333
null,chi_0.95,50.0,winter,0.7549160886740884,0.7481875238309442,-0.0067285648431442135,0.027529461944148084,1.0,0.130143887307982,500,,
null,chi_0.95,50.0,summer,0.7549160886740884,0.7695984308436353,0.014682342169546891,0.02416532836003329,1.0,0.11400910248962352,500,,
null,chi_0.95,50.0,diff,0.0,-0.02141090701269092,-0.02141090701269092,0.02504894847539682,1.0,0.16663413394586452,500,0.0,0.0
null,chi_0.95,100.0,winter,0.660102386635692,0.650484035625512,-0.009618351010179937,0.046054465744829604,1.0,0.16811677938715053,500,,
null,chi_0.95,100.0,summer,0.660102386635692,0.6821820957216573,0.02207970908596535,0.03561999226937904,1.0,0.14885077517705178,500,,
null,chi_0.95,100.0,diff,0.0,-0.03169806009614549,-0.03169806009614549,0.04163956858211566,1.0,0.2269658278754945,500,0.0,0.0
null,chi_0.95,200.0,winter,0.5365905186795867,0.5406073700251374,0.004016851345550632,0.049916332713115595,1.0,0.21480765626221368,500,,
null,chi_0.95,200.0,summer,0.5365905186795867,0.5575716506884977,0.02098113200891094,0.03961787986524928,1.0,0.18187096257941548,500,,
null,chi_0.95,200.0,diff,0.0,-0.016964280663360354,-0.016964280663360354,0.03715152595811204,1.0,0.2801517419699661,500,0.0,0.0
null,chi_0.975,50.0,winter,0.7508753490748659,0.7633290978800842,0.012453748805218323,0.049355245539774696,0.8333333333333334,0.15465567032643027,500,,
null,chi_0.975,50.0,summer,0.7508753490748659,0.7423391203009381,-0.00853622877392779,0.03699442724217928,1.0,0.16945440150860183,500,,
null,chi_0.975,50.0,diff,0.0,0.02098997757914602,0.02098997757914602,0.03255121261159378,1.0,0.20326776990206005,500,0.0,0.0
null,chi_0.975,100.0,winter,0.6540564846941915,0.6756445210662653,0.021588036372073738,0.07531286955253376,0.8333333333333334,0.20084277550814997,500,,
null,chi_0.975,100.0,summer,0.6540564846941915,0.6519095348407361,-0.0021469498534554265,0.04465969499172456,1.0,0.21915562154155213,500,,
null,chi_0.975,100.0,diff,0.0,0.02373498622552907,0.02373498622552907,0.06109747228827978,1.0,0.286766395896608,500,0.0,0.0
null,chi_0.975,200.0,winter,0.5275581127516067,0.5466196974441807,0.01906158469257402,0.1115547116040164,0.6666666666666666,0.22837907722456877,500,,
null,chi_0.975,200.0,summer,0.5275581127516067,0.5402623200273843,0.01270420727577759,0.04321208825570136,1.0,0.3118976309036681,500,,
null,chi_0.975,200.0,diff,0.0,0.006357377416796511,0.006357377416796511,0.09082184859443564,1.0,0.386142505826742,500,0.0,0.0
null,chi_0.99,50.0,winter,0.7484755052767127,0.7156213952640064,-0.03285411001270633,0.08702871481619397,0.8333333333333334,0.307945438041811,500,,
null,chi_0.99,50.0,summer,0.7484755052767127,0.7506558067477385,0.0021803014710257695,0.10052668086177519,1.0,0.35617970140136607,500,,
null,chi_0.99,50.0,diff,0.0,-0.03503441148373202,-0.03503441148373202,0.101112260452367,1.0,0.47425057682497296,500,0.0,0.0
null,chi_0.99,100.0,winter,0.6504608934966399,0.5981793499582978,-0.052281543538342135,0.11810707165332181,0.8333333333333334,0.39264327331985766,500,,
null,chi_0.99,100.0,summer,0.6504608934966399,0.6641451164916026,0.013684222994962636,0.1325423819426725,1.0,0.4627294214663385,500,,
null,chi_0.99,100.0,diff,0.0,-0.06596576653330477,-0.06596576653330477,0.12626519351245086,1.0,0.6228388376154598,500,0.0,0.0
null,chi_0.99,200.0,winter,0.5221768844504089,0.46064438449943185,-0.06153249995097704,0.12348542706014488,0.8333333333333334,0.5020558997752976,500,,
null,chi_0.99,200.0,summer,0.5221768844504089,0.5506285237709984,0.028451639320589472,0.14465660216215565,1.0,0.5852167432910278,500,,
null,chi_0.99,200.0,diff,0.0,-0.08998413927156662,-0.08998413927156662,0.1490587411761038,1.0,0.8065170683484761,500,0.0,0.0
alternative,theta,50.0,winter,1.2078526082041026,1.2094127592289534,0.0015601510248508532,0.007504435823221639,0.6666666666666666,0.023684227445536072,500,,
alternative,theta,50.0,summer,1.351923131860854,1.3483304309378985,-0.003592700922955494,0.010128699795930103,0.8333333333333334,0.03318755262919756,500,,
alternative,theta,50.0,diff,-0.14407052365675144,-0.13891767170894528,0.005152851947806153,0.01597387917311277,0.8333333333333334,0.0440756293175269,500,1.0,1.0
alternative,theta,100.0,winter,1.2906118849857737,1.2938124028894886,0.0032005179037148945,0.01067691065940944,0.8333333333333334,0.03597900615404729,500,,
alternative,theta,100.0,summer,1.4813949835712745,1.4792354696864194,-0.0021595138848551354,0.01307793346950183,0.8333333333333334,0.044779690108432156,500,,
alternative,theta,100.0,diff,-0.1907830985855008,-0.18542306679693085,0.005360031788569947,0.021239705697937275,0.8333333333333334,0.05965788840643101,500,1.0,1.0
alternative,theta,200.0,winter,1.4018385473164718,1.4061183505542723,0.004279803237800417,0.011140303924875526,1.0,0.058520441155969105,500,,
alternative,theta,200.0,summer,1.6386895714738214,1.6371653358410694,-0.0015242356327520579,0.018897881236849715,0.8333333333333334,0.05893598484437842,500,,
alternative,theta,200.0,diff,-0.2368510241573496,-0.23104698528679746,0.005804038870552142,0.02751604316567064,0.8333333333333334,0.08781230513373699,500,1.0,1.0
alternative,chi_0.95,50.0,winter,0.7985085481670933,0.7924126047510116,-0.006095943416081662,0.01962900861646157,1.0,0.11640390590140758,500,,
alternative,chi_0.95,50.0,summer,0.660102386635692,0.6425386322641183,-0.017563754371573648,0.023847536608141474,0.8333333333333334,0.11685969236859219,500,,
alternative,chi_0.95,50.0,diff,0.13840616153140128,0.14987397248689335,0.01146781095549207,0.031490874369204815,1.0,0.1579455997593517,500,1.0,1.0
