i,j,station_i,station_j,name_i,name_j,dist_km
29,32,06370,06391,EINDHOVEN AP,ARCEN AWS,56.983519488461944
11,16,06279,06290,HOOGEVEEN AWS,TWENTHE AWS,57.10822450932768
24,28,06343,06356,ROTTERDAM GEULHAVEN,HERWIJNEN AWS,57.296802702655434
2,24,06240,06343,AMSTERDAM/SCHIPHOL AP,ROTTERDAM GEULHAVEN,57.43407728481979
6,14,06270,06285,LEEUWARDEN,HUIBERTGAT WP,57.95941719299284
2,23,06240,06330,AMSTERDAM/SCHIPHOL AP,HOEK VAN HOLLAND AWS,58.23794473297826
0,3,06225,06260,IJMUIDEN WP,DE BILT AWS,58.633794357585536
6,7,06270,06273,LEEUWARDEN,MARKNESSE AWS,58.664228195900655
0,23,06225,06330,IJMUIDEN WP,HOEK VAN HOLLAND AWS,60.125275072582546
0,26,06225,06348,IJMUIDEN WP,CABAUW TOWER AWS,60.35960413495485
19,25,06312,06344,OOSTERSCHELDE WP,ROTTERDAM THE HAGUE AP,60.62679949363575
3,30,06260,06375,DE BILT AWS,VOLKEL,60.87372417000311
3,27,06260,06350,DE BILT AWS,GILZE RIJEN,61.69662339785767
20,25,06316,06344,OOSTERSCHELDE 4,ROTTERDAM THE HAGUE AP,61.87683069725704
19,21,06312,06319,OOSTERSCHELDE WP,WESTDORPE AWS,62.50480720613949
11,15,06279,06286,HOOGEVEEN AWS,NIEUW BEERTA AWS,62.786189383003325
3,24,06260,06343,DE BILT AWS,ROTTERDAM GEULHAVEN,63.67831911586599
26,30,06348,06375,CABAUW TOWER AWS,VOLKEL,63.83120811986741
17,22,06308,06320,CADZAND WP,LICHTEILAND GOEREE,63.919985695619935
0,5,06225,06269,IJMUIDEN WP,LELYSTAD AP,64.60022808509046
14,15,06285,06286,HUIBERTGAT WP,NIEUW BEERTA AWS,65.27473394792622
8,26,06275,06348,DEELEN,CABAUW TOWER AWS,65.4653766509953
0,24,06225,06343,IJMUIDEN WP,ROTTERDAM GEULHAVEN,65.53482403538648
26,29,06348,06370,CABAUW TOWER AWS,EINDHOVEN AP,65.5966644822965
8,32,06275,06391,DEELEN,ARCEN AWS,65.87482455801073
7,12,06273,06280,MARKNESSE AWS,GRONINGEN AP EELDE,66.21368736127647
29,31,06370,06380,EINDHOVEN AP,MAASTRICHT AACHEN AP,66.21697753329903
5,26,06269,06348,LELYSTAD AP,CABAUW TOWER AWS,66.4250897929883
9,15,06277,06286,LAUWERSOOG AWS,NIEUW BEERTA AWS,67.5915331530762
1,2,06235,06240,DE KOOY VK,AMSTERDAM/SCHIPHOL AP,67.79812572971171
5,28,06269,06356,LELYSTAD AP,HERWIJNEN AWS,70.17080754135162
18,24,06310,06343,VLISSINGEN AWS,ROTTERDAM GEULHAVEN,70.3736968461226
13,32,06283,06391,HUPSEL AWS,ARCEN AWS,70.91913434907431
18,23,06310,06330,VLISSINGEN AWS,HOEK VAN HOLLAND AWS,71.05414768926057
23,28,06330,06356,HOEK VAN HOLLAND AWS,HERWIJNEN AWS,71.73961868077274
