sample,start_year,end_year,threshold,n_all_balanced,n_mainland_balanced,mainland_station_ids
main,1991,2025,0.8,26,26,"06225,06235,06240,06260,06269,06270,06273,06275,06277,06280,06283,06286,06290,06310,06319,06320,06330,06343,06344,06348,06350,06356,06370,06375,06380,06391"
robustness,2001,2025,0.8,39,38,"06209,06225,06235,06240,06242,06248,06249,06251,06260,06267,06269,06270,06273,06275,06277,06278,06279,06280,06283,06286,06290,06310,06315,06319,06320,06324,06330,06340,06343,06344,06348,06350,06356,06370,06375,06377,06380,06391"
