scenario,season,theta_bias_mean,theta_rmse,n_pairs
alternative,summer,-0.002612644718054574,0.011722045046349078,6000
alternative,winter,0.0009825412037276129,0.005851418633194368,6000
null,summer,0.0002941653920362861,0.00819045218766757,6000
null,winter,0.0003144719223282358,0.007474139842942145,6000
