rep,scenario,i,j,dist_km,chi_u_0.90_summer,chi_u_0.90_winter,chi_u_0.95_summer,chi_u_0.95_winter,chi_u_0.98_summer,chi_u_0.98_winter,theta_hat_summer,theta_hat_winter,theta_true_summer,theta_true_winter,theta_hat_diff_W_minus_S,theta_true_diff_W_minus_S,chi_u_0.90_diff_W_minus_S,chi_u_0.95_diff_W_minus_S,chi_u_0.98_diff_W_minus_S
0,alternative,0,1,53.87203202944678,0.6730158730158731,0.7904761904761904,0.6687898089171974,0.8152866242038217,0.6507936507936508,0.8253968253968254,1.3497117441673567,1.2142934267566392,1.3643426838973727,1.215559231269646,-0.13541831741071753,-0.14878345262772674,0.11746031746031738,0.14649681528662428,0.17460317460317454
0,alternative,0,2,22.66335682685928,0.7746031746031746,0.8317460317460318,0.7961783439490446,0.8662420382165605,0.8095238095238095,0.873015873015873,1.2411915087322845,1.1355468126388553,1.2413816993225313,1.1408193498898402,-0.10564469609342919,-0.10056234943269104,0.05714285714285716,0.07006369426751591,0.06349206349206349
0,alternative,0,3,58.633794357585536,0.6793650793650794,0.7714285714285715,0.6751592356687898,0.7898089171974523,0.6666666666666666,0.873015873015873,1.367661178266651,1.21652452063678,1.378887807857535,1.2246390273515992,-0.15113665762987094,-0.15424878050593582,0.09206349206349207,0.1146496815286625,0.2063492063492064
0,alternative,0,4,64.60022808509046,0.6507936507936508,0.7841269841269841,0.643312101910828,0.7961783439490446,0.6507936507936508,0.8412698412698413,1.3890529090621127,1.2348951807106836,1.3961093109517762,1.2354698134633149,-0.15415772835142905,-0.1606394974884613,0.1333333333333333,0.15286624203821664,0.19047619047619047
0,alternative,0,5,116.69493516452651,0.5523809523809524,0.7206349206349206,0.5414012738853503,0.7515923566878981,0.47619047619047616,0.6984126984126984,1.4939069739394364,1.3133849866135436,1.5143856526926103,1.3127479310036554,-0.18052198732589275,-0.20163772168895489,0.1682539682539682,0.21019108280254784,0.2222222222222222
0,alternative,0,6,93.89111005520498,0.580952380952381,0.7365079365079366,0.554140127388535,0.7643312101910829,0.5238095238095238,0.7619047619047619,1.4499369352247002,1.2820628957424214,1.4683374925558998,1.2819868055589538,-0.16787403948227886,-0.186350686996946,0.15555555555555556,0.21019108280254784,0.23809523809523803
0,alternative,0,7,100.45018218859154,0.5619047619047619,0.7206349206349206,0.5222929936305732,0.7388535031847133,0.5555555555555556,0.7936507936507936,1.4822347402577112,1.287694003338316,1.4823347571140606,1.2912355005875702,-0.19454073691939522,-0.1910992565264904,0.15873015873015872,0.21656050955414008,0.23809523809523803
0,alternative,0,8,155.02232988106238,0.5079365079365079,0.6634920634920635,0.5095541401273885,0.7070063694267515,0.4603174603174603,0.6825396825396826,1.5600191685808593,1.3490082982602614,1.5784271168175765,1.357362129771869,-0.21101087032059795,-0.22106498704570754,0.15555555555555556,0.197452229299363,0.22222222222222227
0,alternative,0,9,149.59213845782517,0.5015873015873016,0.6698412698412698,0.445859872611465,0.7133757961783439,0.47619047619047616,0.6825396825396826,1.5437287673423516,1.3581149240249677,1.5701765911099757,1.3514766241351683,-0.18561384331738395,-0.2186999669748073,0.1682539682539682,0.2675159235668789,0.2063492063492064
0,alternative,0,10,192.35398698475612,0.4666666666666667,0.638095238095238,0.45222929936305734,0.7006369426751592,0.4444444444444444,0.6507936507936508,1.5965153775583132,1.3948049767182296,1.6293472494457912,1.394755600134378,-0.20171040084008363,-0.2345916493114133,0.17142857142857137,0.24840764331210186,0.2063492063492064
