station_i,station_j,distance_km
6225,6235,53.872032029446856
6225,6240,22.66335682685925
6225,6260,58.63379435758536
6225,6267,73.83899598342074
6225,6269,64.60022808509045
6225,6270,116.69493516452644
6225,6273,93.89111005520489
6225,6275,100.4501821885915
6225,6277,152.59862477771836
6225,6278,115.51343834717343
6225,6279,139.95349575590143
6225,6280,155.02232988106246
6225,6283,149.59213845782529
6225,6285,174.58481341265545
6225,6286,192.35398698475598
6225,6290,159.96947185446524
6225,6308,144.84946002981343
6225,6310,131.16611692455237
6225,6312,100.20927741215384
6225,6316,107.26518694358158
6225,6319,145.62508748242348
6225,6320,84.83028294960604
6225,6330,60.125275072582426
6225,6343,65.53482403538618
6225,6344,56.259644831585526
6225,6348,60.35960413495507
6225,6350,103.10293463657534
6225,6356,78.34524614932972
6225,6370,125.88473899237061
6225,6375,119.09400944471288
6225,6380,192.06991478113991
6225,6391,155.38677471826318
6235,6240,67.79812572971173
6235,6260,95.93907359644993
6235,6267,40.52008757065554
6235,6269,72.34067520781046
6235,6270,72.72342181512458
6235,6273,78.4521752808758
6235,6275,121.91184619472288
6235,6277,108.81347857915645
6235,6278,113.67934556886513
6235,6279,121.98144103014535
6235,6280,122.58771101310354
6235,6283,158.88368228769454
6235,6285,129.42449496781154
6235,6286,161.01109524577805
6235,6290,159.94958691237414
6235,6308,196.80080977929322
6235,6310,183.88147809303635
6235,6312,151.1424959657555
6235,6316,159.50890181862175
6235,6319,199.44173981714766
6235,6320,134.41110447153702
6235,6330,113.24088273546182
6235,6343,119.39489835689258
6235,6344,109.8091081242824
6235,6348,106.94203741484645
6235,6350,151.799930412651
6235,6356,121.41986473735707
6235,6370,169.20275299260467
6235,6375,154.43695603272113
6235,6380,234.6355452477913
6235,6391,185.91613460589485
6240,6260,35.99197266525369
6240,6267,75.88682081747318
6240,6269,50.891286153925726
6240,6270,119.72758871543039
6240,6273,85.72872821645674
6240,6275,79.35985524998065
6240,6277,154.14995314231095
6240,6278,100.57878188901049
6240,6279,129.82557644977317
6240,6280,150.51196154370518
6240,6283,130.2442499723369
6240,6285,176.46635967467464
6240,6286,186.33845777383914
6240,6290,142.9670114231804
6240,6308,142.28744671144594
6240,6310,127.27575895428846
6240,6312,100.63865991903508
6240,6316,105.06773718987947
6240,6319,137.25662851248995
6240,6320,87.96418287075147
6240,6330,58.237944732978214
6240,6343,57.43407728481961
6240,6344,46.03905406016585
6240,6348,39.79479104984562
6240,6350,84.23426898192739
6240,6356,56.56644045900563
6240,6370,104.54205332466647
6240,6375,96.46652697198041
6240,6380,170.74292827659502
6240,6391,132.74360323173048
6260,6267,89.77561392001587
6260,6269,44.81844650594606
6260,6270,130.82162080060135
6260,6273,82.47178048205534
6260,6275,47.58048536768872
6260,6277,161.29231410853257
6260,6278,82.37056531852238
6260,6279,118.95521741499219
6260,6280,148.25780198990248
6260,6283,100.98235131795511
6260,6285,183.2979057476203
6260,6286,180.24839820236787
6260,6290,118.24639364668636
6260,6308,147.50638782698067
6260,6310,131.23337367019948
6260,6312,113.0223091248996
6260,6316,113.26837583611731
6260,6319,133.11599251677964
6260,6320,105.09879944712054
6260,6330,73.34176842087723
6260,6343,63.67831911586594
6260,6344,52.438410014587895
6260,6348,22.575522943731258
6260,6350,61.69662339785795
6260,6356,26.912466876447397
6260,6370,73.4517779496535
6260,6375,60.87372417000365
6260,6380,138.7042170368064
6260,6391,96.75409201675636
6267,6269,50.56492602519833
6267,6270,43.855767310445906
6267,6273,40.22678312937616
6267,6275,99.30857479161475
6267,6277,78.98709097120633
6267,6278,78.28741044446686
6267,6279,81.61719566487413
6267,6280,84.2430300432493
6267,6283,126.21553301746978
6267,6285,101.15894777249969
6267,6286,122.59715494318523
6267,6290,123.20756085348289
6267,6308,217.12188740711792
6267,6310,202.58876171892763
6267,6312,173.53049592251585
6267,6316,179.57238737477863
6267,6319,213.05019199075986
6267,6320,158.61038466719884
6267,6330,132.1010601006366
6267,6343,133.2726223306369
6267,6344,121.92174734926049
6267,6348,107.69570707325015
6267,6350,151.1883133696692
6267,6356,116.64457749800994
6267,6370,160.89987282435834
6267,6375,139.41725837647417
6267,6380,222.95133878678436
6267,6391,165.1811077052569
6269,6270,87.69400268254824
6269,6273,38.111622548247425
6269,6275,50.2971175314006
6269,6277,116.71026875138303
6269,6278,50.91361842899327
6269,6279,79.31533115951459
6269,6280,104.30733758771062
6269,6283,88.89068576201822
6269,6285,138.60540910352643
6269,6286,137.99150818774672
6269,6290,95.89114228561048
6269,6308,188.22296385004395
6269,6310,172.37309188713542
6269,6312,149.46314545490128
6269,6316,152.1591128992984
6269,6319,176.95826824200006
6269,6320,138.1156527456457
6269,6330,107.25543939785085
6269,6343,102.35081637578038
6269,6344,90.38908226223386
6269,6348,66.4250897929886
6269,6350,105.75402644413522
6269,6356,70.17080754135154
6269,6370,111.40284418526527
6269,6375,88.85447322537497
6269,6380,172.4638536502902
6269,6391,115.78178507775725
6270,6273,58.664228195900826
6270,6275,130.17446653304043
6270,6277,36.378592037454034
6270,6278,94.08639026987193
6270,6279,76.1808597224629
6270,6280,56.61067916614565
6270,6283,142.23268816751872
6270,6285,57.959417192992895
6270,6286,93.11955803889865
6270,6290,130.52337568321653
6270,6308,260.7885795644382
6270,6310,246.36942035053892
6270,6312,216.8204082632082
6270,6316,223.20404749885256
6270,6319,256.8100127370961
6270,6320,201.47385579491882
6270,6330,175.72262896524816
6270,6343,177.1269190414319
6270,6344,165.75265434927996
6270,6348,150.17015903015977
6270,6350,192.51144289704206
6270,6356,157.25465730723363
6270,6370,198.83000640298218
6270,6375,173.99143120259458
6270,6380,257.72889942791113
6270,6391,194.2686970011823
6273,6275,71.97294870280207
6273,6277,81.62877772195519
6273,6278,38.92076200454456
6273,6279,46.46550497260437
6273,6280,66.21368736127677
6273,6283,87.7302462422659
6273,6285,102.77385499168993
6273,6286,100.71941609534596
6273,6290,82.99544300272532
6273,6308,225.89151795610871
6273,6310,210.17107631385153
6273,6312,186.05718269708495
6273,6316,189.46332715322708
6273,6319,215.05567699272694
6273,6320,173.68408140216823
6273,6330,143.6390360467501
6273,6343,139.93661161276688
6273,6344,127.96812301177441
6273,6348,104.4363187063178
6273,6350,142.14241427396908
6273,6356,106.57750672272294
6273,6370,143.5436215953086
6273,6375,116.66284607670545
6273,6380,199.9595704835628
6273,6391,135.60471706008872
6275,6277,152.489146145073
6275,6278,49.75683744938688
6275,6279,90.66108594254138
6275,6280,128.23074778500722
6275,6283,53.65171626961816
6275,6285,172.58678223912412
6275,6286,153.2593057650318
6275,6290,73.59753591432357
6275,6308,187.40113778821018
6275,6310,170.89995235007572
6275,6312,157.65278525498422
6275,6316,156.0348343766241
6275,6319,166.65885179701775
6275,6320,151.46593712510548
6275,6330,119.98100968012236
6275,6343,108.35899642807576
6275,6344,98.11516702859917
6275,6348,65.46537665099532
6275,6350,84.34217961294394
6275,6356,54.41023681534989
6275,6370,75.41918770590799
6275,6375,45.487278895083165
6275,6380,128.03563041781658
6275,6391,65.87482455801079
6277,6278,108.74461250984209
6277,6279,77.81632360173744
6277,6280,41.0305634630893
6277,6283,152.57517266541652
6277,6285,22.33305879748664
6277,6286,67.5915331530764
6277,6290,134.8569290015438
6277,6308,296.00881856944
6277,6310,281.31357628438786
6277,6312,252.50749722257862
6277,6316,258.4966931192553
6277,6319,290.47203792701896
6277,6320,237.42881770463197
6277,6330,211.0459206050161
6277,6343,211.54288043344502
6277,6344,199.95196648171083
6277,6348,181.9093446346639
6277,6350,222.4536560228232
6277,6356,186.84542540883263
6277,6370,225.1711982934405
6277,6375,197.76043670383547
6277,6380,280.28976730595156
6277,6391,212.88308468597828
6278,6279,40.907469085621464
6278,6280,79.70691326186744
6278,6283,48.93884882701589
6278,6285,127.04958709775192
6278,6286,103.54391328099777
6278,6290,46.51320982044925
6278,6308,229.6954506603758
6278,6310,213.3379683869265
6278,6312,194.81906236172318
6278,6316,195.6051247495702
6278,6319,212.68717549025033
6278,6320,185.3443571273584
6278,6330,153.7231670381489
