season,rho,alpha,loglik,converged,message,n_pair_observations,n_objective_evaluations,start_grid,optimizer_maxiter,at_boundary,delta_rho_W_minus_S,delta_alpha_W_minus_S
W,418.76493394368066,0.5944867597787407,-5745073.895092399,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1605472,393,fast,80,False,341.78542930487356,-0.0026152744168563835
S,76.9795046388071,0.597102034195597,-6422731.193373218,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1634743,309,fast,80,False,,
